seed;obj;alpha;beta;mu;sigmaT;sigmaD;x0
17395;4.7698188285760304e-06;0.8832658423492031;[0.14389453 0.07558763 0.10089603 0.12453548];[0.01002401 0.01590602 0.01001603 0.00681544];8.708271318331083e-11;6.834493982998669e-13;[0.7210585  0.16997415 0.18116162 0.13655887 0.15487099 0.01634469 0.01033912 0.01508579 0.01254289]
13926;5.463957275924045e-06;0.8439289401566595;[0.14418928 0.07990406 0.09985813 0.12295147];[0.00888345 0.01606514 0.00999313 0.00721153];8.708271318331083e-11;6.834493982998669e-13;[0.87197389 0.05707999 0.13267657 0.10282562 0.14984107 0.01003628 0.01970112 0.01088515 0.01186021]
20657;4.521467721059864e-06;0.8786028090018398;[0.14389801 0.07617138 0.10012068 0.12446017];[0.0095581  0.0158819  0.00990944 0.00692514];8.708271318331083e-11;6.834493982998669e-13;[0.86235555 0.10770145 0.09343998 0.12628248 0.07001991 0.01918877 0.01402095 0.01189552 0.01391786]
17412;4.682003669732016e-06;0.9310372686638437;[0.14689978 0.07018017 0.10421654 0.13049235];[0.01117995 0.01587351 0.0103862  0.00706777];8.708271318331083e-11;6.834493982998669e-13;[0.81191047 0.06275426 0.06552963 0.08380063 0.13720609 0.0130058 0.0106046  0.01270521 0.01136515]
23019;4.137816194484764e-06;0.9140021508101053;[0.14605918 0.07210882 0.09885113 0.12549307];[0.01032209 0.01610821 0.01018465 0.00695655];8.708271318331083e-11;6.834493982998669e-13;[0.8784439  0.14405798 0.05129581 0.08320682 0.16984602 0.00945482 0.01469586 0.01448644 0.00940041]
23116;4.577367472982367e-06;0.8921118039364018;[0.14330268 0.07369038 0.10136227 0.12536094];[0.00993365 0.01610256 0.01007898 0.00711107];8.708271318331083e-11;6.834493982998669e-13;[0.75820592 0.06657373 0.10828089 0.19488671 0.08575519 0.01308419 0.01990084 0.01594724 0.01877881]
1390;4.572020245909851e-06;0.9018539006175692;[0.14461877 0.07324451 0.10086739 0.12637617];[0.01018884 0.01556215 0.00998392 0.00679375];8.708271318331083e-11;6.834493982998669e-13;[0.86800405 0.12226424 0.0680192  0.13654404 0.11950159 0.01261705 0.01421719 0.00935359 0.01567076]
9295;3.63180185347006e-06;0.9039707376617578;[0.14397151 0.07229138 0.10121196 0.12584932];[0.01027588 0.01587797 0.01042968 0.00698252];8.708271318331083e-11;6.834493982998669e-13;[0.82063499 0.14676212 0.08489534 0.07009721 0.06074522 0.00605465 0.01563135 0.01125147 0.01758133]
3062;4.710076457505725e-06;0.9114662209688497;[0.14553353 0.07192099 0.10045935 0.12681355];[0.01036558 0.01540528 0.01038888 0.00695916];8.708271318331083e-11;6.834493982998669e-13;[0.89150934 0.15356696 0.11288932 0.08167192 0.05019272 0.005373 0.00867171 0.0143222  0.01648929]
4742;4.18580927810967e-06;0.9153621867715768;[0.14504954 0.0710574  0.1017916  0.1270963 ];[0.01021898 0.01567656 0.01004673 0.00694738];8.708271318331083e-11;6.834493982998669e-13;[0.72067108 0.16338226 0.09988166 0.17730901 0.05220159 0.01834401 0.01605649 0.01475622 0.00893337]
8909;4.507264797797361e-06;0.9193344750358821;[0.1430534  0.06931278 0.1058153  0.13106999];[0.01038533 0.01607996 0.01068796 0.00688537];8.708271318331083e-11;6.834493982998669e-13;[0.71875666 0.12477851 0.19123566 0.06924429 0.09480506 0.01621217 0.01863544 0.01244271 0.01019369]
6177;5.184724326877006e-06;0.8712929263450407;[0.14304426 0.07584873 0.1001976  0.12497781];[0.0093415  0.0160799  0.01026083 0.00686053];8.708271318331083e-11;6.834493982998669e-13;[0.74141247 0.10362067 0.16986125 0.07077524 0.06893649 0.01390711 0.0055899  0.01119793 0.01070014]
14472;4.244386525754865e-06;0.8995703052415981;[0.14346054 0.07246429 0.10112533 0.12553259];[0.01032226 0.01582051 0.01029503 0.00720856];8.708271318331083e-11;6.834493982998669e-13;[0.83717835 0.155078   0.075818   0.1813418  0.19507436 0.016633 0.00501403 0.00765569 0.01449563]
9215;3.5088458767557763e-06;0.9037869349968911;[0.14462388 0.07278451 0.10012705 0.12702432];[0.01038798 0.01603124 0.01029412 0.00725795];8.708271318331083e-11;6.834493982998669e-13;[0.73905364 0.11839613 0.06195081 0.14109477 0.06420295 0.01643506 0.01859869 0.00814117 0.01954437]
7683;4.4788848521581115e-06;0.8995729708648372;[0.14431666 0.07388274 0.10160086 0.12650009];[0.01001941 0.01609605 0.01018064 0.00668156];8.708271318331083e-11;6.834493982998669e-13;[0.81091871 0.0948816  0.06224058 0.17237115 0.06794266 0.00869832 0.0157554  0.00805977 0.01720529]
17698;4.168218197719856e-06;0.8870613798127248;[0.14297683 0.07410911 0.10176383 0.12618622];[0.00972293 0.01583199 0.01021245 0.00683593];8.708271318331083e-11;6.834493982998669e-13;[0.8055404  0.1581189  0.15524514 0.1090472  0.16804229 0.01399362 0.01348837 0.00954236 0.00697222]
14246;4.169496489705276e-06;0.8924113059687403;[0.14415179 0.07477002 0.10133513 0.12492692];[0.01022523 0.01590152 0.00990491 0.00699035];8.708271318331083e-11;6.834493982998669e-13;[0.91367084 0.14953848 0.14904333 0.1570983  0.14885834 0.01839531 0.01416671 0.00918276 0.01683   ]
12991;4.304106224009694e-06;0.9058660569442101;[0.14288612 0.07029144 0.10077701 0.12735621];[0.01012649 0.01585552 0.01066667 0.0071971 ];8.708271318331083e-11;6.834493982998669e-13;[0.83072863 0.13014189 0.19328848 0.16446528 0.0674308  0.00517127 0.01819214 0.01702849 0.01810451]
11439;3.990776783126889e-06;0.8969529855423959;[0.14430632 0.07349504 0.09964707 0.12450364];[0.01025883 0.01593491 0.00998176 0.00697864];8.708271318331083e-11;6.834493982998669e-13;[0.7517962  0.1867656  0.06005005 0.1865929  0.12078988 0.015574 0.00875169 0.00772437 0.01111888]
4988;4.751390032712017e-06;0.8945000090540994;[0.14304113 0.07316407 0.10139867 0.12604302];[0.01001765 0.01593529 0.01031974 0.00714818];8.708271318331083e-11;6.834493982998669e-13;[0.7057025  0.19616402 0.1413794  0.14693877 0.17865411 0.01879531 0.00502969 0.01161141 0.00843363]
1014;4.559512234628271e-06;0.8452858283280414;[0.1441652  0.07970329 0.09980023 0.12327836];[0.00900914 0.01580347 0.01007075 0.00694557];8.708271318331083e-11;6.834493982998669e-13;[0.82423903 0.10893729 0.17788339 0.07493002 0.15971503 0.00518888 0.0054911  0.00681595 0.01459635]
298;4.787698498694097e-06;0.8976724818701756;[0.14435101 0.07333292 0.09955319 0.12461525];[0.01014919 0.01578252 0.01009218 0.00682277];8.708271318331083e-11;6.834493982998669e-13;[0.92358037 0.11208668 0.14549342 0.10351919 0.15583509 0.015707 0.01322695 0.01398303 0.00558142]
475;4.6632462382501745e-06;0.9046695908841027;[0.14424661 0.07142366 0.09935721 0.1262269 ];[0.01021835 0.01581088 0.01048518 0.00699228];8.708271318331083e-11;6.834493982998669e-13;[0.86353335 0.15166146 0.11134932 0.08110787 0.14168169 0.00692598 0.01990187 0.01747421 0.01354492]
695;4.6402057915655965e-06;0.8753340062542178;[0.14371092 0.0754287  0.09884117 0.12334318];[0.00999944 0.0156176  0.0098936  0.00710792];8.708271318331083e-11;6.834493982998669e-13;[0.84808383 0.1712807  0.08450024 0.14536295 0.06533659 0.0117851 0.00705994 0.0178428  0.01775604]
662;4.740037785789484e-06;0.886077685274696;[0.14286456 0.07427157 0.10058197 0.1255385 ];[0.01006263 0.01605261 0.01038042 0.0069905 ];8.708271318331083e-11;6.834493982998669e-13;[0.78471177 0.14319116 0.14443341 0.14237058 0.16286394 0.01215202 0.01161154 0.00945793 0.00997571]
671;4.662750829814053e-06;0.9223693503759973;[0.14638302 0.07143345 0.10284301 0.12858218];[0.01093727 0.01562197 0.00997119 0.00692994];8.708271318331083e-11;6.834493982998669e-13;[0.72052983 0.17367323 0.14063847 0.05712801 0.194107   0.01541998 0.010187   0.00979307 0.00692747]
33;3.94874519829498e-06;0.9142546491266366;[0.14403667 0.07130618 0.10381086 0.12790819];[0.01054324 0.01593148 0.01067866 0.00714677];8.708271318331083e-11;6.834493982998669e-13;[0.7655228  0.14494701 0.16029722 0.07351616 0.18430791 0.01140232 0.01305975 0.01869417 0.01492414]
813;5.120834405334691e-06;0.8947786639823379;[0.14376684 0.07403969 0.10175242 0.12650939];[0.01006368 0.01626823 0.00995648 0.00684455];8.708271318331083e-11;6.834493982998669e-13;[0.83766091 0.05035755 0.16478906 0.07563878 0.13835915 0.01551982 0.0163618  0.00572495 0.00828362]
879;4.450457568736314e-06;0.8722829003626367;[0.14364677 0.07692862 0.10097915 0.12498812];[0.00965308 0.01602632 0.00999585 0.00674052];8.708271318331083e-11;6.834493982998669e-13;[0.75251964 0.13617768 0.09991826 0.16401055 0.11505959 0.00633788 0.0081441  0.01380091 0.00880289]
81;4.20358897515833e-06;0.9207238748084594;[0.14705198 0.07183842 0.09980078 0.12642961];[0.01100948 0.01573037 0.01046719 0.00737861];8.708271318331083e-11;6.834493982998669e-13;[0.83646827 0.08919537 0.17992021 0.17066991 0.07980428 0.01205492 0.00730732 0.00820186 0.01415258]
562;4.376666343857123e-06;0.9131767861367301;[0.14403847 0.07127895 0.10323953 0.12848924];[0.01007303 0.01631275 0.01000197 0.00685597];8.708271318331083e-11;6.834493982998669e-13;[0.74302819 0.12122628 0.19565102 0.05839647 0.10431096 0.01114295 0.01976575 0.00770696 0.00612705]
179360;4.350491976655882e-06;0.9036925025757853;[0.14634987 0.07377694 0.09729315 0.12437631];[0.01026478 0.01574132 0.01002335 0.00690791];8.708271318331083e-11;6.834493982998669e-13;[0.8811678  0.15930035 0.07710924 0.09368502 0.11644617 0.01186153 0.01495301 0.01001068 0.01115634]
